Pathways	IS013	IS014	IS015	IS016	IS017	IS018	IS019	IS020	IS021	IS023	IS024	IS025	IS026	IS028	IS029	IS030	IS033	IS035	IS036	IS039	IS043	IS044	IS045	IS047	IS180	IS181	IS182	IS183	IS185	IS186	IS187	IS188	IS189	IS190	IS191	IS192	IS193	IS195	IS196	IS197	IS199	IS200	IS201	IS203	IS204	IS205	IS206	IS207	IS208	IS209	IS210
PWY-5667	17910.0396	22422.0154	30325.7946	60451.4626	32190.5467	12611.9186	8770.7909	700.0178	50533.2066	21808.2816	52679.687	12201.8074	13379.0407	29559.4338	10084.9191	29072.1428	17259.9939	23919.4447	29113.2667	13601.5367	16752.8634	16291.698	20092.6481	5010.8677	1643.8289	34201.2592	28880.6377	30462.707	13844.6096	16956.5322	2332.2194	11065.0374	15008.3832	36124.7824	12135.8958	8494.1319	13870.3987	15178.6695	20830.0333	16269.0842	25939.5599	20263.2033	29036.1868	4610.9848	566.4512	1408.3792	1406.2556	451.6515	678.065	9204.4695	11637.9099
PWY-5675	0.0	0.1692	0.0	0.0	0.0	0.0	0.0	0.0	0.9685	0.0	0.0	0.0	0.0	0.0083	0.0	0.0	0.0678	0.0	0.0145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0221	0.0	0.0	0.0	0.0	0.0	0.2169	0.0588	0.0	0.0	0.0	0.0
PWY-5676	5866.633	569.4645	897.7778	4546.2707	9452.1246	2508.2673	1163.9359	277.0608	13947.6799	2066.6415	4177.1318	1486.7315	2014.9862	3412.6495	3817.7614	731.1057	233.3036	978.3035	3000.0765	4677.8075	5985.2876	569.8717	535.9598	1314.4591	477.321	1734.2479	2210.0689	1423.1585	3819.4619	487.9554	177.6094	730.2651	1150.6225	7691.3094	757.2392	997.851	3183.334	9691.7568	626.9772	1474.0119	876.9296	280.0758	225.2276	1146.3774	201.1641	435.592	488.3055	264.4445	221.3959	3336.03	5917.3825
PWY-5677	1349.9772	23.2166	576.4919	701.807	1634.6698	328.9164	280.4899	28.7656	3131.3905	541.6413	543.8391	350.9099	540.409	901.3084	864.6685	275.9353	0.5967	302.026	838.8559	1157.3459	752.7293	14.7775	128.0945	233.6179	10.9826	260.3441	434.676	687.3304	503.4883	63.3621	34.8244	118.1304	338.878	1972.7281	51.8764	186.3547	673.4403	1483.5769	212.6684	124.7223	42.6721	0.9324	3.2353	71.2798	1.4329	32.6551	118.193	45.3079	41.7545	2199.4584	2888.4968
PWY-5679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5686	17671.1562	20130.0745	22370.2701	47153.7891	31200.882	11679.6994	7960.3994	678.6344	46030.1816	21328.028	42073.4263	8792.1894	9274.4363	20949.2639	9150.9578	24094.6259	16752.7484	22121.2399	24646.9848	12657.4998	15963.281	14719.7751	18187.476	4355.5286	1585.4346	31946.3039	27061.7131	22621.1956	13170.551	14333.3592	2116.7993	10564.8277	14155.5442	38379.8131	11415.4347	7732.4865	13377.3015	14306.7843	19736.6445	14938.9123	23411.2734	19009.8326	26489.1189	4690.7484	534.9468	1316.3608	1307.4481	415.8692	572.7874	7810.5931	11969.0288
PWY-5695	11657.2837	5574.7926	19353.3241	48208.0941	29555.0655	4428.3728	4160.2288	513.8688	42960.4427	13187.4787	46520.0262	9820.0745	10919.4147	25675.886	6365.3812	17008.8542	1918.1197	11211.3458	19379.0191	10219.9088	10130.6429	4581.69	5653.283	2637.7256	1507.6432	15128.308	13218.5137	20830.9514	3116.8306	8689.9732	1589.2134	2572.5812	6008.9985	32181.2793	1777.8388	3810.135	11452.4889	8400.5561	5164.5019	2918.7875	7151.7903	599.0747	8800.4241	4627.7962	483.0147	774.3813	1286.2901	350.8435	570.5835	9321.2388	9915.4063
PWY-5705	87.2952	9.1568	56.7708	237.724	100.1511	17.567	33.6253	22.7881	352.6763	46.6551	181.221	25.2623	84.8734	81.5745	52.2371	52.0387	8.0414	56.797	37.9216	95.2499	71.2527	37.8359	22.6644	72.0142	50.2669	29.7116	16.9117	222.5703	33.3276	9.0215	96.3808	83.8753	20.3624	459.4753	38.0011	25.1712	10.7492	61.2848	10.109	56.4001	12.3151	3.4069	10.9927	188.0589	11.9177	36.1855	13.976	23.0293	10.361	530.3107	96.2102
PWY-5724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0001	0.0004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
