OTU_ID	IS013	IS014	IS015	IS016	IS017	IS018	IS019	IS020	IS021	IS023	IS024	IS025	IS026	IS028	IS029	IS030	IS033	IS035	IS036	IS039	IS043	IS044	IS045	IS047	IS180	IS181	IS182	IS183	IS185	IS186	IS187	IS188	IS189	IS190	IS191	IS192	IS193	IS195	IS196	IS197	IS199	IS200	IS201	IS203	IS204	IS205	IS206	IS207	IS208	IS209	IS210
e1b2b6ae4af6686429c21926cc0314a0	0.0	6.0	5.0	0.0	0.0	0.0	10.0	10.0	13.0	0.0	0.0	33.0	7.0	5.0	5.0	0.0	6.0	0.0	21.0	43.0	13.0	37.0	9.0	8.0	87.0	0.0	36.0	13.0	11.0	7.0	33.0	46.0	40.0	0.0	7.0	26.0	0.0	7.0	337.0	16.0	35.0	9.0	0.0	16.0	55.0	20.0	19.0	6.0	4.0	44.0	0.0
6be9159335eaf8fa99434fec1f32d847	0.0	0.0	0.0	749.0	228.0	0.0	0.0	0.0	92.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52d998a538496179968dec55950d1516	0.0	0.0	0.0	115.0	0.0	0.0	21.0	0.0	898.0	0.0	8.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ac548297ae5c1838f4ff5644ec456514	8.0	15.0	7.0	6.0	0.0	36.0	0.0	0.0	33.0	0.0	0.0	18.0	59.0	27.0	73.0	29.0	10.0	17.0	30.0	4.0	0.0	19.0	0.0	12.0	41.0	4.0	27.0	58.0	5.0	0.0	151.0	5.0	10.0	7.0	146.0	72.0	0.0	7.0	16.0	22.0	18.0	4.0	0.0	24.0	9.0	5.0	9.0	4.0	0.0	0.0	6.0
6e5c5e8ab4e07833bd4a8ec94f14dcb9	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1010.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2f3da68606254b35e1d68615524c6815	23.0	2.0	0.0	198.0	490.0	0.0	0.0	0.0	69.0	0.0	26.0	10.0	0.0	71.0	16.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	19.0	0.0	0.0	2.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2ef1e51ab1cf99a3c6417b05a060830e	49.0	0.0	5.0	0.0	8.0	4.0	0.0	0.0	0.0	507.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	137.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	5.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0
c1aff6e411940a2aa4c27aa18a3143cc	0.0	7.0	0.0	468.0	259.0	0.0	123.0	10.0	0.0	0.0	51.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c845eda99662b5a88a8c8e979ec07dd0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	258.0	0.0	95.0	0.0	58.0	422.0	10.0	14.0	0.0	57.0	72.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
545897c06d99e94bc65d6bab8099d98a	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	524.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.0
